model,checkpoint,layer_idx,head_idx,class,OV_PR,QK_PR,OV_entropy,QK_entropy,abs_delta_this_ckpt
410M,4000,4,12,never,39.57666604408517,27.667546433717806,3.905485153198242,3.7578539848327637,0.0003750210219995
410M,4000,4,15,growing,31.822502647163518,38.02447037211625,3.7665629386901855,3.916266441345215,0.0001274048365172
410M,4000,5,0,emergent,47.15397413307307,33.15903011022815,3.992051362991333,3.8543145656585693,0.0001211414486263
410M,4000,5,3,growing,29.410473676013762,22.64929605434561,3.722752809524536,3.627530097961426,0.0002676052637468
410M,4000,5,6,born,30.979874354854864,23.728565660628586,3.834129810333252,3.7129359245300293,0.0001628722785049
410M,4000,5,9,born,44.79306618683459,29.637091358014725,3.978764295578003,3.795283317565918,0.0004638105936878
410M,4000,5,12,born,36.679730317829666,29.65634994209359,3.821216344833374,3.7992441654205322,0.0067013438644413
410M,4000,5,15,growing,38.57152288118836,32.762266489891495,3.890079975128174,3.822202205657959,0.001972486006879
410M,4000,6,0,emergent,35.405697125477275,21.334364109629508,3.8561248779296875,3.6445746421813965,8.882451762925888e-05
410M,4000,6,3,emergent,9.08386792684893,40.120199915734936,3.087900161743164,3.8676557540893555,0.0042378942677006
410M,4000,6,6,never,36.087838377522495,22.47262281707725,3.8587677478790283,3.6519994735717773,0.0002795970978159
410M,4000,6,9,growing,32.35746898713449,33.42866623269482,3.8168141841888428,3.843986988067627,0.000568293581044
410M,4000,6,12,never,19.21934557995702,26.90825668639297,3.6417343616485596,3.753814935684204,0.0001737485306105
410M,4000,6,15,emergent,40.30884174095534,22.32913758566385,3.919588088989258,3.6694960594177246,0.000593892826917
410M,4000,7,0,emergent,44.051813583242556,39.39648430488333,3.9620156288146973,3.9068522453308105,9.594542514969094e-05
410M,4000,7,3,emergent,41.711469222095346,32.84797630019326,3.942782402038574,3.848419666290283,1.8319737543269827e-05
410M,4000,7,6,never,41.33903443453378,36.584942817081085,3.9281396865844727,3.8721277713775635,0.0001450014618962
410M,4000,7,9,emergent,25.851850035287825,15.793717676319579,3.6726293563842773,3.499022960662842,0.0011462295536608
410M,4000,7,12,emergent,37.38843816758404,39.18089983507406,3.914766311645508,3.9124975204467773,8.849656341346176e-05
410M,4000,7,15,never,31.45792420034456,28.517877113921287,3.8393568992614746,3.769969940185547,1.0725715744325148e-05
410M,4000,8,0,emergent,33.89518738441366,19.805164940249778,3.8689541816711426,3.655780792236328,2.3997108884670192e-05
410M,4000,8,3,emergent,52.00605196004253,39.1326332146655,4.049387454986572,3.8848259449005127,0.0008400869814149
410M,4000,8,6,emergent,32.929467397547405,42.30534840510607,3.884580135345459,3.890872001647949,0.0012031968138248
410M,4000,8,9,emergent,26.717941550864662,42.51559955057729,3.7388103008270264,3.944448232650757,0.0020412515543618
410M,4000,8,12,emergent,31.612240790689334,31.52990386175331,3.75156831741333,3.816681385040283,0.001688638945005
410M,4000,8,15,emergent,16.008767640143212,10.940603272423154,3.572537422180176,3.322826862335205,6.262581446011192e-05
410M,4000,9,0,emergent,37.122419652267624,33.39126014711168,3.863919258117676,3.798168420791626,0.0003616394147376
410M,4000,9,3,emergent,33.49829473166552,40.129038562365736,3.878155469894409,3.940084457397461,0.0002676939726741
410M,4000,9,6,growing,43.08126515623506,36.91817792801788,3.9445486068725586,3.8225324153900146,0.0012006833942205
410M,4000,9,9,growing,36.42405908742793,41.93839873703665,3.912726879119873,3.939392328262329,6.212313053935655e-05
410M,4000,9,12,growing,25.82333995123282,37.864140101384336,3.786405563354492,3.9097347259521484,4.878990996490121e-05
410M,4000,9,15,emergent,22.58535615173331,26.461794462182308,3.563877820968628,3.743396043777466,0.0049228051420834
410M,4000,10,0,never,53.163058072122986,42.94129584980596,4.0594401359558105,3.9164280891418457,0.0007167385622056
410M,4000,10,3,growing,50.88735898530427,37.33105740385833,4.027108192443848,3.803598642349243,0.0011274850885267
410M,4000,10,6,emergent,45.91703704946037,29.062251747569412,3.9759278297424316,3.7754931449890137,0.0001832753317629
410M,4000,10,9,never,53.10815072619906,38.452201692537656,4.057445526123047,3.81719970703125,0.0012515001687647
410M,4000,10,12,emergent,38.6745610444301,37.67679207654718,3.9212217330932617,3.9088706970214844,5.428179900397069e-05
410M,4000,10,15,emergent,40.4469111275624,39.59576855945603,3.932407855987549,3.926368474960327,8.257725863424395e-05
410M,4000,11,0,emergent,31.701014138627958,22.280138030279552,3.7576498985290527,3.6753993034362793,0.0002081057669335
410M,4000,11,3,emergent,24.989901890784505,28.946993233574087,3.7307868003845215,3.786532402038574,0.0011101949121688
410M,4000,11,6,never,50.08608389839762,35.91007166644764,4.022256851196289,3.848487138748169,0.0007342841127478
410M,4000,11,9,emergent,52.03424694069041,42.14791500042222,4.037385940551758,3.94305419921875,0.0012662043454868
410M,4000,11,12,emergent,39.683720819131075,25.554805136229657,3.892341136932373,3.73856520652771,0.000656394986509
410M,4000,11,15,emergent,45.845034373112874,32.39072463586908,3.983433723449707,3.8358097076416016,2.304819217839568e-05
410M,4000,12,0,emergent,23.450050700579325,23.51872127648731,3.7266650199890137,3.674717903137207,0.0001260715144596
