layer_idx,head_idx,OV_PR,QK_PR,OV_entropy,QK_entropy,OV_PR_143k,QK_PR_143k,OV_en_143k,QK_en_143k,class,abs_delta_this_ckpt
20,15,57.40935501637832,43.18266617047698,4.10189151763916,3.927389621734619,57.81903229599543,1.3036187432101507,4.106047630310059,0.864158570766449,never,0.0002146799324302
21,0,42.31068371792973,30.312331031703515,3.966229200363159,3.74666166305542,51.49852522809121,1.2542114823609356,4.05827522277832,0.7250441312789917,never,0.0004921967202684
21,3,55.974447797391925,43.56836930267443,4.08707332611084,3.930091381072998,32.7645592832136,1.0889757776947715,3.940640687942505,0.3161507546901703,never,0.0009031210792084
21,6,46.321678944226434,32.25999722561524,3.980538845062256,3.800374984741211,47.21472614511757,5.972081477484127,4.033797264099121,2.725724220275879,never,0.0006014701515549
21,9,54.85155966425561,29.859915515371508,4.078915119171143,3.752476215362549,49.52020818103925,1.1721546821889588,4.062704563140869,0.5693268179893494,never,0.0001086993151851
21,12,41.561106108724886,14.022159077032677,3.9423675537109375,3.4378366470336914,12.9603903569085,1.1562162514629193,3.5575380325317383,0.5179901123046875,never,0.0004501829647262
21,15,53.102178412144646,27.807791289772627,4.063509941101074,3.6880414485931396,26.734718740830747,1.4059774987339633,3.887442350387573,1.039427638053894,never,9.90851487263994e-05
22,0,48.07709301991129,28.521563221588487,4.00949764251709,3.729588270187378,24.54105475967539,1.1769748517225824,3.804893732070923,0.5255284309387207,never,0.0003748492117473
22,3,29.720473915824442,26.740508702401918,3.7707865238189697,3.722160816192627,44.855322506794664,1.19005068987443,3.985329151153565,0.5136336088180542,growing,0.0019048838100493
22,6,55.66955703770838,27.37527779968432,4.0827484130859375,3.69879150390625,8.945374502286908,1.663110925502322,3.236889600753784,1.155475378036499,growing,0.0014797250169778
22,9,53.04585082787002,32.24490470573263,4.064689636230469,3.7838826179504395,57.519124970924054,1.1098573883885114,4.106917381286621,0.3938356041908264,never,1.61785309825345e-05
22,12,50.79690281238885,37.68508762632894,4.0415472984313965,3.854907989501953,56.256751811738205,1.301222119637561,4.094573974609375,0.8468232154846191,never,0.0002547404781674
22,15,53.340309841349274,36.23943377044329,4.059521198272705,3.823883056640625,29.362873238856434,2.3897763238662626,3.877903461456299,1.7023520469665527,never,0.0005564460835449
23,0,37.85244759642399,14.766430088350864,3.9307892322540283,3.3681211471557617,56.39345795578997,1.374120724640667,4.096652984619141,0.9298973083496094,never,5.292196146752023e-05
23,3,37.17742450261857,12.288817427604476,3.9057273864746094,3.2721304893493652,57.05254239887539,3.0205788655336994,4.101361274719238,2.244773626327514,never,0.0007574262084777
23,6,38.54689654723577,26.325423015835714,3.885993480682373,3.668571710586548,58.88800303484867,6.213054940478337,4.115239143371582,2.7029061317443848,never,0.0002926503667633
23,9,29.297941397691815,25.195534759171984,3.661738872528076,3.6015169620513916,26.34241067255805,8.643629388824571,3.817016839981079,2.767153263092041,never,0.0003504659845231
